,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trn ID,Gr/Sc #,PaymentCode,ULB,DD,DateOfPayment,DateOfReceived,AmountOfPayment,remarks,,,,,,,,,,,,,,,,,,,,
,,1,B.Baria,0601004/34,28-Oct-09,1-Nov,494080,,,,,,,,,,,,,,,,,,,,,
,,2,Laksam,,28-Oct-09,1-Nov,,,,,,,,,,,,,,,,,,,,,,
,,3,Sitakunda,,28-Oct-09,1-Nov,,,,,,,,,,,,,,,,,,,,,,
,,4,Chandpur,,28-Oct-09,1-Nov,,,,,,,,,,,,,,,,,,,,,,
,,5,Tangail,,28-Oct-09,1-Nov,,,,,,,,,,,,,,,,,,,,,,
,,6,Narayanganj,,28-Oct-09,1-Nov,,,,,,,,,,,,,,,,,,,,,,
,,7,Jamalpur,,28-Oct-09,1-Nov,,,,,,,,,,,,,,,,,,,,,,
,,8,Lama,,28-Oct-09,1-Nov,,,,,,,,,,,,,,,,,,,,,,
,,9,Ishwardi,,28-Oct-09,1-Nov,,,,,,,,,,,,,,,,,,,,,,
,,10,Pabna,,28-Oct-09,1-Nov,,,,,,,,,,,,,,,,,,,,,,
,,11,Barisal City Corp.,,28-Oct-09,1-Nov,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
